time,Vgrid_A,Vgrid_B,V_grid_C,Igrid_A,Igrid_B,I_grid_C,F_grid,Id,Iq,Te,Tload,omegaR,Vm_A,Vm_B,Vm_C,Im_A,Im_B,Im_C,Ref_Speed
0,0,-0.866025403784439,0.866025403784439,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2.32806687965315e-15,-0.866025403784439,0.866025403784437,-1.81310396651914,1.8379899420909,-0.0248859755717576,59.1080718366516,-9.37819642515889e-26,3.08694686162618e-26,-2.60494432955918e-51,0,-5.43926396519387e-52,0,0,0,-7.69926294848323e-25,-6.54119533771601e-25,-8.52931544031411e-25,0
0.2,4.65613375930629e-15,-0.866025403784442,0.866025403784434,-0.227989860619336,0.287569594051888,-0.0595797334325923,58.3688103997888,-2.94913569801081e-26,-1.62406857922283e-25,8.34930124244866e-51,0,-7.49673833443674e-51,0,0,0,-2.22291742037301e-24,-1.88822470034437e-24,-2.01919925502557e-24,0
0.3,1.76423416753609e-14,-0.866025403784449,0.866025403784431,-0.0384733274173499,-0.0126898668714491,0.0511631942887512,57.6552701745872,-8.78269355351734e-27,-5.21751812206923e-26,-4.01425243390125e-52,0,-1.17988747430628e-50,0,0,0,-4.30457226555731e-23,-4.30289722461714e-23,-4.30534608325936e-23,0
0.4,9.31226751861259e-15,-0.866025403784444,0.866025403784435,0.00815438763092247,-0.038979883942625,0.0308254963116137,57.0487326305209,-8.7894981562896e-26,-4.6016297433752e-26,-2.15502646398208e-51,0,-1.40913576317116e-50,0,0,0,-7.87453937959849e-22,-7.8736646334335e-22,-7.87526509929187e-22,1350
0.5,9.82193361864236e-16,-0.866025403784433,0.866025403784432,0.00360395889746333,-0.0381369503204766,0.0345329914229954,56.3276405491539,0.378579641194606,0.163391737476229,0.0277552084744564,0,0.13440513020385,0,0,0,0.409535774654237,-0.231764329602923,-0.177771445051314,1350
0.6,3.52846833507219e-14,-0.86602540378445,0.866025403784415,0.0152575496412191,-0.0119453275416774,-0.00331222209956164,56.1897996429886,0.535910160912605,0.089841396155005,0.028654328144782,0,0.26685924652286,0,0,0,0.542225959320258,-0.25060323691633,-0.291622722403928,1350
0.7,1.27437544787715e-14,-0.866025403784439,0.866025403784426,0.0076491722880649,-0.0179365687131219,0.0102873964250168,55.9751558355415,0.677759424062213,0.0693473919647773,0.0304146232042771,0,0.400085044430077,0,0,0,-0.274358446371271,-0.399647736978627,0.674006183349898,1350
0.8,1.86245350372252e-14,-0.866025403784442,0.866025403784423,0.00845295512801092,-0.00892617820499958,0.000473223076960216,55.4887032149897,0.517280451466265,0.0683230444020231,0.0355769623720629,0,0.533428304996759,0,0,0,0.504436192059924,-0.160324415333066,-0.344111776726858,1350
0.9,-3.91639383472518e-15,-0.866025403784431,0.866025403784435,0.027636765417951,-0.00792345177157462,-0.0197133136464491,55.1579354162443,0.518031190654412,0.0704310184951744,0.0348461540131617,0,0.666730382980328,0,0,0,0.49618846483935,-0.127457144686971,-0.36873132015238,1350
1,1.96438672372847e-15,-0.866025403784434,0.866025403784432,0.0138800671704676,-0.00913982573697912,-0.00474024143353621,54.9269831653743,0.521053808595504,0.0605634532792372,0.0338439248579862,0,0.799910195049734,0,0,0,-0.0931704249749176,-0.392384719762028,0.485555144736946,1350
1.1,7.84516728218212e-15,-0.866025403784437,0.866025403784429,0.00431883501272155,-0.0101067333449016,0.00578789833211416,54.7766029765811,0.532530430675869,0.0270840340573403,0.0124487063285451,0,0.900231258779688,0,0,0,0.508982604752232,-0.162525627574287,-0.346456977177945,1350
